family	genus	scientific_name	mycorrhizal_type
Fabaceae	Acacia	Acacia acuminata	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus botryoides	EcM
Malvaceae	Lagunaria	Lagunaria patersonia	AM
Fabaceae	Acacia	Acacia ammobia	EcM-AM
Fabaceae	Acacia	Acacia rigens	EcM-AM
Fabaceae	Acacia	Acacia sericata	EcM-AM
Zamiaceae	Macrozamia	Macrozamia moorei	AM
Myrtaceae	Corymbia	Corymbia ficifolia	EcM
Capparaceae	Capparis	Capparis umbonata	AM
Fabaceae	Acacia	Acacia cowleana	EcM-AM
Fabaceae	Senegalia	Senegalia pennata	AM
Myrtaceae	Melaleuca	Melaleuca halmaturorum	EcM-AM
Cupressaceae	Callitris	Callitris preissii	AM
Malvaceae	Heritiera	Heritiera polyandra	AM
Cactaceae	Cylindropuntia	Cylindropuntia imbricata	AM
Myrtaceae	Eucalyptus	Eucalyptus dealbata	EcM
Myrtaceae	Angophora	Angophora melanoxylon	EcM
Cactaceae	Stetsonia	Stetsonia coryne	AM
Proteaceae	Lomatia	Lomatia myricoides	NM
Apocynaceae	Ochrosia	Ochrosia elliptica	AM
Myrtaceae	Melaleuca	Melaleuca biconvexa	EcM-AM
Myrtaceae	Corymbia	Corymbia hamersleyana	EcM
Fabaceae	Acacia	Acacia oswaldii	EcM-AM
Myrtaceae	Lophostemon	Lophostemon confertus	EcM-AM
Monimiaceae	Hedycarya	Hedycarya loxocarya	AM
Myrtaceae	Eucalyptus	Eucalyptus burdettiana	EcM
Fabaceae	Acacia	Acacia decurrens	EcM-AM
Fabaceae	Acacia	Acacia xanthina	EcM-AM
Fabaceae	Acacia	Acacia chrysotricha	EcM-AM
Myrtaceae	Hypocalymma	Hypocalymma angustifolium	AM
Myrtaceae	Corymbia	Corymbia aparrerinja	EcM
Fabaceae	Acacia	Acacia crassa	EcM-AM
Myrtaceae	Syzygium	Syzygium smithii	AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus elliffii	AM
Fabaceae	Acacia	Acacia chartacea	EcM-AM
Fabaceae	Acacia	Acacia glaucocaesia	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus falcata	EcM
Rutaceae	Flindersia	Flindersia brayleyana	AM
Annonaceae	Monoon	Monoon australe	AM
Arecaceae	Caryota	Caryota rumphiana	AM
Lamiaceae	Gmelina	Gmelina dalrympleana	AM
Argophyllaceae	Corokia	Corokia carpodetoides	AM
Proteaceae	Banksia	Banksia marginata	NM
Fabaceae	Acacia	Acacia bancroftiorum	EcM-AM
Myrtaceae	Melaleuca	Melaleuca viminea	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus pilularis	EcM
Fabaceae	Acacia	Acacia parramattensis	EcM-AM
Malvaceae	Brachychiton	Brachychiton acerifolius	AM
Lamiaceae	Vitex	Vitex negundo	AM
Piperaceae	Piper	Piper excelsum	NM-AM
Myrtaceae	Lophostemon	Lophostemon suaveolens	EcM-AM
Ericaceae	Epacris	Epacris heteronema	ErM
Myrtaceae	Melaleuca	Melaleuca incana	EcM-AM
Meliaceae	Didymocheton	Didymocheton setosus	AM
Celastraceae	Dinghoua	Dinghoua globularis	AM
Boraginaceae	Cordia	Cordia dichotoma	NM-AM
Apocynaceae	Ochrosia	Ochrosia oppositifolia	AM
Rutaceae	Zanthoxylum	Zanthoxylum ovalifolium	AM
Fabaceae	Acacia	Acacia triptycha	EcM-AM
Proteaceae	Macadamia	Macadamia ternifolia	NM
Euphorbiaceae	Alchornea	Alchornea ilicifolia	AM
Celastraceae	Salacia	Salacia chinensis	NM-AM
Myrtaceae	Asteromyrtus	Asteromyrtus angustifolia	EcM-AM
Myrtaceae	Calytrix	Calytrix arborescens	EcM-AM
Cycadaceae	Cycas	Cycas arnhemica	AM
Proteaceae	Grevillea	Grevillea calcicola	NM
Rutaceae	Murraya	Murraya paniculata	AM
Fabaceae	Acacia	Acacia verniciflua	EcM-AM
Akaniaceae	Akania	Akania bidwillii	AM
Myrtaceae	Eucalyptus	Eucalyptus petrensis	EcM
Proteaceae	Lomatia	Lomatia fraseri	NM
Myrtaceae	Eucalyptus	Eucalyptus sieberi	EcM
Myrtaceae	Eucalyptus	Eucalyptus gittinsii	EcM
Lamiaceae	Clerodendrum	Clerodendrum tomentosum	AM
Argophyllaceae	Corokia	Corokia whiteana	AM
Combretaceae	Terminalia	Terminalia porphyrocarpa	AM
Myrtaceae	Melaleuca	Melaleuca hakeifolia	EcM-AM
Malvaceae	Hibiscus	Hibiscus heterophyllus	AM
Moraceae	Ficus	Ficus obliqua	AM
Euphorbiaceae	Claoxylon	Claoxylon angustifolium	AM
Arecaceae	Arenga	Arenga listeri	AM
Myrtaceae	Pilidiostigma	Pilidiostigma rhytispermum	AM
Myrtaceae	Eucalyptus	Eucalyptus pulverulenta	EcM
Fabaceae	Acacia	Acacia sclerosperma	EcM-AM
Phyllanthaceae	Phyllanthus	Phyllanthus buxifolius	AM
Fabaceae	Acacia	Acacia leptostachya	EcM-AM
Sapindaceae	Rhysotoechia	Rhysotoechia bifoliolata	AM
Proteaceae	Xylomelum	Xylomelum pyriforme	NM
Myrtaceae	Eucalyptus	Eucalyptus mimica	EcM
Malvaceae	Heritiera	Heritiera peralata	AM
Rubiaceae	Guettardella	Guettardella tenuiflora	AM
Oxalidaceae	Averrhoa	Averrhoa carambola	AM
Pandanaceae	Benstonea	Benstonea monticola	NM-AM
Fabaceae	Acacia	Acacia cretata	EcM-AM
Rhamnaceae	Emmenosperma	Emmenosperma cunninghamii	AM
Euphorbiaceae	Croton	Croton phebalioides	AM
Myrtaceae	Corymbia	Corymbia calophylla	EcM
Myrtaceae	Corymbia	Corymbia clavigera	EcM
Proteaceae	Hakea	Hakea macraeana	NM
Fabaceae	Acacia	Acacia symonii	EcM-AM
Pittosporaceae	Pittosporum	Pittosporum bicolor	AM
Pittosporaceae	Pittosporum	Pittosporum angustifolium	AM
Picrodendraceae	Petalostigma	Petalostigma quadriloculare	AM
Myrtaceae	Corymbia	Corymbia tessellaris	EcM
Myrtaceae	Eucalyptus	Eucalyptus morrisii	EcM
Melastomataceae	Memecylon	Memecylon umbellatum	AM
Fabaceae	Inocarpus	Inocarpus fagifer	AM
Fabaceae	Acacia	Acacia uncifolia	EcM-AM
Salicaceae	Salix	Salix humboldtiana	EcM-AM
Rubiaceae	Gynochthodes	Gynochthodes umbellata	AM
Myrtaceae	Eucalyptus	Eucalyptus cyanophylla	EcM
Ebenaceae	Diospyros	Diospyros moi	AM
Myrtaceae	Eucalyptus	Eucalyptus melanophloia	EcM
Icacinaceae	Ryticaryum	Ryticaryum longifolium	AM
Cupressaceae	Callitris	Callitris columellaris	AM
Fabaceae	Erythrina	Erythrina corallodendron	AM
Fabaceae	Acacia	Acacia pustula	EcM-AM
Malvaceae	Berrya	Berrya cordifolia	AM
Fabaceae	Acacia	Acacia mabellae	EcM-AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus ferruginiflorus	AM
Ebenaceae	Diospyros	Diospyros ferrea	AM
Rutaceae	Acronychia	Acronychia oblongifolia	AM
Moraceae	Ficus	Ficus opposita	AM
Myrtaceae	Corymbia	Corymbia polycarpa	EcM
Myrtaceae	Eucalyptus	Eucalyptus elata	EcM
Rutaceae	Correa	Correa lawrenceana	AM
Combretaceae	Terminalia	Terminalia volucris	AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus reticulatus	AM
Fabaceae	Acacia	Acacia salicina	EcM-AM
Fabaceae	Acacia	Acacia paradoxa	EcM-AM
Meliaceae	Didymocheton	Didymocheton rufum	AM
Lamiaceae	Clerodendrum	Clerodendrum floribundum	AM
Myrtaceae	Eucalyptus	Eucalyptus baueriana	EcM
Rosaceae	Aria	Aria edulis	AM
Myrtaceae	Melaleuca	Melaleuca linariifolia	EcM-AM
Lauraceae	Endiandra	Endiandra floydii	AM
Rutaceae	Zanthoxylum	Zanthoxylum brachyacanthum	AM
Rubiaceae	Psydrax	Psydrax montigenus	AM
Proteaceae	Persoonia	Persoonia arborea	NM
Moraceae	Artocarpus	Artocarpus altilis	AM
Fabaceae	Acacia	Acacia pellita	EcM-AM
Myrtaceae	Corymbia	Corymbia zygophylla	EcM
Fabaceae	Acacia	Acacia rhodophloia	EcM-AM
Combretaceae	Terminalia	Terminalia oblongata	AM
Myrtaceae	Corymbia	Corymbia dichromophloia	EcM
Fabaceae	Senna	Senna gaudichaudii	AM
Elaeocarpaceae	Elaeocarpus	Elaeocarpus sericopetalus	AM
Cunoniaceae	Karrabina	Karrabina benthamiana	AM
Myrtaceae	Eucalyptus	Eucalyptus regnans	EcM
Sapindaceae	Harpullia	Harpullia alata	AM
Fabaceae	Acacia	Acacia pubescens	EcM-AM
Acanthaceae	Avicennia	Avicennia officinalis	NM-AM
Sapindaceae	Alectryon	Alectryon oleifolius	AM
Myrtaceae	Eucalyptus	Eucalyptus benthamii	EcM
Atherospermataceae	Daphnandra	Daphnandra tenuipes	AM
Myrtaceae	Eucalyptus	Eucalyptus cullenii	EcM
Elaeocarpaceae	Sloanea	Sloanea australis	AM
Myrtaceae	Eucalyptus	Eucalyptus grisea	EcM
Cornaceae	Alangium	Alangium ferrugineum	AM
Myrtaceae	Eucalyptus	Eucalyptus clivicola	EcM
Rubiaceae	Gardenia	Gardenia ewartii	AM
Fabaceae	Senna	Senna sulfurea	AM
Rutaceae	Micromelum	Micromelum minutum	AM
Rubiaceae	Neolamarckia	Neolamarckia cadamba	AM
Primulaceae	Myrsine	Myrsine benthamiana	AM
Fabaceae	Acacia	Acacia seclusa	EcM-AM
Myrtaceae	Corymbia	Corymbia blakei	EcM
Moraceae	Ficus	Ficus albipila	AM
Myrtaceae	Melaleuca	Melaleuca viridiflora	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus foecunda	EcM
Myrtaceae	Melaleuca	Melaleuca nervosa	EcM-AM
Proteaceae	Hakea	Hakea pandanicarpa	NM
Fabaceae	Acacia	Acacia estrophiolata	EcM-AM
Myrtaceae	Eucalyptus	Eucalyptus amplifolia	EcM
Myrtaceae	Eucalyptus	Eucalyptus cloeziana	EcM
Myrtaceae	Syzygium	Syzygium aqueum	AM
Myrtaceae	Syzygium	Syzygium velarum	AM
Fabaceae	Acacia	Acacia penninervis	EcM-AM
Meliaceae	Didymocheton	Didymocheton pettigrewianus	AM
Lamiaceae	Premna	Premna serratifolia	AM
Phyllanthaceae	Flueggea	Flueggea virosa	AM
Myrtaceae	Syncarpia	Syncarpia verecunda	EcM-AM
Santalaceae	Santalum	Santalum spicatum	NM-AM
Phyllanthaceae	Breynia	Breynia macrantha	AM
Myrtaceae	Eucalyptus	Eucalyptus rudis	EcM
Myrtaceae	Syzygium	Syzygium mackinnonianum	AM
